"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"	"Annual"
1987	"0.290000"	1.22	1.89	0.59	4.19	2.07	"0.870000"	0.96	0.6	"0.560000"	"1.580000"	"0.610000"	15.43
1988	"0.310000"	0.51	2.52	0.86	2.91	0.89	"1.060000"	1.77	2.25	"0.110000"	"0.120000"	"1.200000"	14.51
1989	"0.530000"	0.73	0.25	1.33	2.08	2.05	"0.950000"	1.34	2.44	"0.770000"	"0.020000"	"0.350000"	12.84
1990	"0.490000"	0.53	4.84	0.69	2.74	0.69	"1.260000"	2.05	1.46	"0.590000"	"0.770000"	"0.260000"	16.37
1991	"0.360000"	NA	0.09	1.4	2.74	2.84	"1.860000"	1.94	0.81	"0.800000"	"1.560000"	"0.050000"	14.45
1992	"1.070000"	0.05	4.15	1.26	1.34	3.21	"2.570000"	3.28	0.03	"0.200000"	"1.830000"	"0.410000"	19.4
1993	"0.360000"	0.84	1.23	2.25	1.75	2.11	"1.030000"	1.04	2.78	"2.130000"	"1.480000"	"0.140000"	17.14
1994	"0.460000"	0.56	0.31	1.63	1.9	1.81	"2.300000"	2.02	0.39	"1.620000"	"0.410000"	"0.400000"	13.81
1995	"0.110000"	0.82	0.32	2.12	7.08	3.83	"1.110000"	0.21	2.81	"0.390000"	"0.330000"	"0.130000"	19.26
1996	"0.770000"	0.17	1.79	0.99	3.77	2.08	"2.250000"	0.96	1.89	"0.470000"	"0.460000"	"T"	15.6
1997	"0.760000"	0.48	0.47	2.74	1.3	2.3	"2.800000"	4.22	1.98	"2.020000"	"0.390000"	"0.250000"	19.71
1998	"0.170000"	0.29	1.95	1.88	2.37	1.66	"1.330000"	0.32	0.93	"2.620000"	"0.960000"	"0.520000"	15
2000	"0.150000"	0.38	1.42	0.83	1.49	1.14	"0.430000"	1.32	2.41	"0.570000"	"0.360000"	"0.430000"	10.93
2001	"0.590000"	0.25	0.87	2.82	3.98	0.74	"1.740000"	0.36	0.86	"0.260000"	"0.920000"	"0.120000"	13.51
2002	"0.640000"	0.46	0.98	0.17	2.26	1	"0.300000"	0.82	1.37	"1.350000"	"0.380000"	"0.010000"	9.74
2003	"0.040000"	0.57	3.95	3.46	2.11	1.13	"0.070000"	1.99	0.2	"0.050000"	"0.340000"	"0.310000"	14.22
2004	"0.430000"	0.32	0.2	1.51	1.39	2.38	"1.900000"	3.43	2.97	"0.980000"	"1.140000"	"0.090000"	16.74
2005	"0.500000"	0.34	1.35	2.4	3.24	3.55	"0.530000"	0.74	0.18	"3.400000"	"0.090000"	"0.160000"	16.48
2006	"0.040000"	0.41	1.36	0.18	0.74	0.07	"0.880000"	0.61	0.65	"1.720000"	"0.650000"	"2.200000"	9.51
2007	"0.450000"	0.2	1.41	1.12	1.72	0.16	"0.650000"	3.01	1.36	"1.540000"	"0.310000"	"1.080000"	13.01
2008	"0.030000"	0.13	0.73	2.42	1.65	2.06	"0.660000"	3.96	1.29	"0.660000"	"0.020000"	"0.500000"	14.11
2009	"0.310000"	0.23	0.66	4.04	2.03	4.15	"3.680000"	0.38	0.77	"2.080000"	"0.620000"	"1.060000"	20.01
2010	"0.160000"	0.95	0.82	3.97	1.74	1.92	"1.900000"	0.7	0.06	"0.810000"	"0.860000"	"0.190000"	14.08
2011	"0.400000"	0.48	0.32	1.68	4.14	2.2	"3.220000"	0.45	1	"1.960000"	"0.930000"	"0.730000"	17.51
2012	"0.050000"	0.54	NA	0.29	1.52	0.47	"3.120000"	0.08	1.53	"0.680000"	"0.090000"	"0.230000"	8.6
2013	"0.200000"	0.43	0.69	2.79	2.58	1.44	"1.640000"	1.11	6.08	"1.230000"	"0.180000"	"0.280000"	18.65
2014	"1.070000"	0.29	1.26	0.31	3.09	1.9	"3.260000"	0.74	1.33	"1.500000"	"0.920000"	"0.470000"	16.14
2015	"0.190000"	0.8	0.17	2.22	5.83	1.68	"1.780000"	0.9	0.11	"1.750000"	"1.700000"	"0.940000"	18.07
2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"52.4"	64.76	142.85	249.14	365.07	231.18	"207.4"	180.83	168.25	"147.6"	"76.7"	"61.4"	1901.3
NA	"0.4"	0.502015503875969	1.09884615384615	1.93131782945736	2.78679389312977	1.77830769230769	"1.6"	1.391	1.29423076923077	"1.1"	"0.6"	"0.5"	14.85390625
NA	"2.3"	1.65	4.84	10.56	7.47	6.31	"5.9"	7.39	7.34	"6.7"	"2.3"	"4.1"	28.43
NA	"1891.000000"	1912	1990	1900	1901	1949	"1977.000000"	1951	1938	"1942.000000"	"1973.000000"	"1913.000000"	1961
NA	"0.0"	NA	NA	0.05	0.01	0.03	"0.1"	0.03	0.01	"0.0"	"0.0"	"0.0"	7.11
NA	"1919.000000"	1991	2012	1908	1974	1917	"1939.000000"	1960	1932	"1934+"	"1965+"	"1935.000000"	1893
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Jan"	NA	NA	NA	NA	NA	"Jul"	NA	NA	"Oct"	"Nov"	"Dec"	NA
NA	"0.4"	0.285	0.5125	2.08	2.3	1.1525	"1.4"	1.805	0.33	"1.3"	"0.3"	"0.1"	11.95
NA	"0.5"	0.691	1.103	2.304	2.807	1.601	"2.0"	1.225	0.903	"0.9"	"0.4"	"0.4"	14.8074444444444
NA	"0.2"	0.43	1.349	2.185	3.621	1.636	"1.8"	1.177	1.955	"1.1"	"0.4"	"0.5"	16.284
NA	"0.4"	0.896	0.788	2.175	2.722	1.083	"1.9"	1.125	1.613	"1.4"	"0.5"	"0.8"	15.4
NA	"0.3"	0.471	1.291	1.731	2.356	2.126	"1.4"	1.672	0.937	"1.4"	"0.7"	"0.5"	14.928
NA	"0.3"	0.62	0.851	1.52	2.655	1.185	"1.1"	1.346	2.061	"0.6"	"0.4"	"0.5"	13.0504444444444
NA	"0.5"	0.406	0.923	2.36	2.94	2.468	"1.4"	1.419	0.723	"1.5"	"0.6"	"0.4"	15.516
NA	"0.4"	0.465	1.023	1.687	3.099	1.557	"1.1"	1.83	0.804	"1.1"	"0.6"	"0.6"	14.3475714285714
NA	"0.4"	0.418	1.173	1.524	2.656	2.425	"1.9"	1.414	1.361	"1.2"	"0.5"	"0.3"	15.292
NA	"0.4"	0.328	1.011	2.206	2.57	1.269	"1.6"	1.321	1.116	"0.9"	"0.8"	"0.6"	14.117
NA	"0.4"	0.460714285714286	1.552	1.60933333333333	2.84266666666667	2.31933333333333	"1.8"	1.30333333333333	1.448	"1.0"	"1.0"	"0.5"	16.1936309523809
NA	"0.5"	0.44875	1.30333333333333	1.67777777777778	2.63777777777778	2.33111111111111	"1.7"	1.70111111111111	1.55888888888889	"1.2"	"0.9"	"0.3"	16.2266666666667
NA	"0.3"	0.386	1.233	2.209	2.086	1.716	"1.2"	1.6	0.971	"1.3"	"0.5"	"0.6"	14.141
NA	"0.4"	0.508	0.61	1.458	3.432	1.538	"2.6"	0.656	2.01	"1.4"	"0.8"	"0.5"	15.794
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"0.420000"	0.43	1.42	2.04	2.38	2.04	"1.240000"	1.34	1.31	"1.150000"	"0.720000"	"0.480000"	14.97
