FORT COLLINS
1916-01,0.84
1916-02,0.11
1916-03,0.31
1916-04,0.86
1916-05,3.85
1916-06,0.60
1916-07,0.65
1916-08,0.71
1916-09,0.70
1916-10,2.92
1916-11,0.98
1916-12,0.62
1917-01,0.40
1917-02,1.04
1917-03,0.99
1917-04,1.22
1917-05,5.79
1917-06,0.03
1917-07,1.19
1917-08,1.21
1917-09,0.45
1917-10,0.62
1917-11,0.40
1917-12,0.31
1918-01,0.41
1918-02,1.05
1918-03,0.12
1918-04,3.68
1918-05,2.95
1918-06,1.18
1918-07,4.83
1918-08,1.91
1918-09,3.23
1918-10,0.71
1918-11,0.90
1918-12,0.76
1919-01,T
1919-02,0.30
1919-03,1.65
1919-04,0.92
1919-05,0.45
1919-06,0.19
1919-07,0.64
1919-08,0.61
1919-09,2.61
1919-10,1.90
1919-11,1.22
1919-12,0.39
1920-01,0.54
1920-02,0.64
1920-03,0.14
1920-04,3.60
1920-05,1.95
1920-06,0.40
1920-07,0.58
1920-08,1.72
1920-09,0.60
1920-10,0.50
1920-11,0.24
1920-12,0.54
1921-01,0.96
1921-02,0.19
1921-03,0.13
1921-04,1.63
1921-05,1.97
1921-06,3.66
1921-07,1.36
1921-08,2.43
1921-09,0.68
1921-10,0.37
1921-11,0.32
1921-12,0.89
1922-01,0.35
1922-02,0.53
1922-03,0.36
1922-04,2.80
1922-05,0.87
1922-06,1.03
1922-07,0.80
1922-08,0.74
1922-09,0.02
1922-10,0.74
1922-11,1.44
1922-12,0.31
1923-01,0.19
1923-02,1.39
1923-03,2.74
1923-04,2.18
1923-05,4.46
1923-06,6.23
1923-07,4.50
1923-08,0.62
1923-09,1.36
1923-10,3.55
1923-11,0.10
1923-12,0.25
1924-01,0.51
1924-02,0.54
1924-03,1.83
1924-04,0.93
1924-05,3.90
1924-06,0.22
1924-07,0.21
1924-08,0.05
1924-09,0.84
1924-10,0.78
1924-11,0.09
1924-12,0.74
1925-01,0.27
1925-02,0.09
1925-03,0.58
1925-04,0.10
1925-05,1.18
1925-06,1.50
1925-07,1.85
1925-08,1.32
1925-09,1.96
1925-10,3.26
1925-11,0.89
1925-12,1.50
1926-01,0.25
1926-02,0.28
1926-03,1.54
1926-04,2.99
1926-05,1.76
1926-06,1.58
1926-07,0.93
1926-08,0.86
1926-09,1.03
1926-10,1.15
1926-11,0.36
1926-12,0.83
1927-01,0.04
1927-02,0.40
1927-03,1.87
1927-04,2.69
1927-05,0.91
1927-06,2.17
1927-07,2.19
1927-08,2.10
1927-09,1.10
1927-10,0.92
1927-11,1.00
1927-12,0.25
1928-01,0.26
1928-02,0.50
1928-03,1.38
1928-04,0.97
1928-05,3.35
1928-06,2.73
1928-07,0.83
1928-08,0.69
1928-09,0.09
1928-10,1.50
1928-11,1.15
1928-12,0.06
1929-01,0.21
1929-02,0.70
1929-03,1.78
1929-04,2.37
1929-05,1.08
1929-06,0.61
1929-07,0.46
1929-08,2.35
1929-09,2.13
